LSOA,B15 2TH,B18 7QH,B4 6NH,B71 4HJ,B75 7RR,B9 5SS,B98 7UB,BA1 3NG,BA21 4AT,BB10 2PQ,BB2 3HH,BD20 6TD,BD9 6RJ,BH15 2JB,BH7 7DW,BL4 0JR,BL9 7TD,BN11 2DH,BN2 5BE,BN21 2UD,BR6 8ND,BS10 5NB,BS2 8HW,BS23 4TQ,CA2 7HY,CA28 8JG,CB2 0QQ,CH2 1UL,CH49 5PE,CM1 7ET,CM20 1QX,CO4 5JL,CR7 7YE,CT1 3NG,CT9 4AN,CV10 7DJ,CV2 2DX,CV34 5BW,CW1 4QJ,DA2 8DA,DE13 0RB,DE22 3NE,DH1 5TW,DL3 6HX,DN15 7BH,DN2 5LT,DN33 2BA,DT1 2JY,DY1 2HQ,E1 1BB,E11 1NR,E13 8SL,E9 6SR,EN5 3DJ,EX2 5DW,EX31 4JB,FY3 8NR,GL1 3NN,GU16 7UJ,GU2 7XX,HA1 3UJ,HG2 7SX,HP11 2TT,HP21 8AL,HR1 2ER,HU3 2JZ,HX3 0PW,IG3 8YB,IP33 2QZ,IP4 5PD,KT16 0PZ,KT18 7EG,KT2 7QB,L14 5AB,L35 5DR,L39 2JW,L7 8XP,L8 7SS,L9 7AL,LA1 4RP,LA14 4LF,LE1 5WW,LE3 9QP,LE5 4PW,LN2 5QY,LS1 3EX,LU4 0DZ,M13 0JH,M23 9LT,M6 8HD,M8 5RL,ME16 9QQ,ME7 5NY,MK42 9DJ,MK6 5LD,N18 1QX,N19 5NF,NE1 4LP,NE23 6NZ,NE34 0PL,NE63 9FL,NE7 7DN,NE9 6SX,NG17 4JL,NG5 1PB,NG7 2UH,NN1 5BD,NN16 8UZ,NR31 6LA,NR4 7UY,NW1 2BU,NW3 2QG,OL1 2JH,OL6 9RW,OX16 9AL,OX3 9DU,PE21 9QS,PE29 6NT,PE3 9GZ,PE30 4ET,PL6 8DH,PO19 6SE,PO30 5TG,PO6 3LY,PR2 9HT,PR8 6PN,RG1 5AN,RG24 9NA,RH1 5RH,RH16 4EX,RM7 0AG,S10 2JF,S44 5BL,S60 2UD,S75 2EP,S81 0BD,SE1 7EH,SE13 6LH,SE18 4QH,SE5 9RW,SG1 4AB,SK10 3BL,SK2 7JE,SL2 4HL,SM5 1AA,SN3 6BB,SO16 6YD,SO22 5DG,SP2 8BJ,SR4 7TP,SS0 0RY,SS16 5NL,ST16 3SA,ST4 6QG,SW10 9NH,SW17 0QT,SW3 6NP,SW6 6SX,SY3 8XQ,TA1 5DA,TF1 6TF,TN2 4QJ,TN24 0LZ,TN37 7RD,TQ2 7AA,TR1 3LQ,TS19 8PE,TS4 3BW,TW7 6AF,UB1 3HW,UB8 3NN,W12 0HS,W2 1NY,WA5 1QG,WC1N 3JH,WD18 0HB,WF1 4DG,WF13 4HS,WF8 1PL,WN1 2NN,WR5 1DD,WS2 9PS,WV10 0QP,YO12 6QL,YO31 8HE
Birmingham 058D,17.59999968,14.16666672,9.56666736,25.13333376,25.81666704,3.75000048,38.26666656,124.1000006,180.1833336,146.25,133.9166664,167.5166674,156.3000005,193.7333333,174.1166669,119.3833339,122.6499998,196.2999994,195.6166661,212.3166672,175.8500006,107.9833334,110.4000005,129.7333339,215.6499994,250.2333331,116.9833334,113.2166664,122.4999994,157.3166664,147.5333338,178.5500006,171.733333,211.0666666,225.7666661,34.16666688,35.30000016,44.48333376,81.61666704,162.7833326,50.98333392,53.03333376,212.0166662,190.8833328,133.7499994,113.5333339,161.8166664,207.5833339,37.89999936,161.6833339,148.1833339,157.2999998,158.0833339,123.8499994,179.3000002,207.4166669,148.2500002,77.0333328,138.3833333,141.583333,128.866667,155.7999994,101.7999994,105.4833336,92.79999936,152.266667,145.4499994,162.2499998,142.5333326,175.0333334,127.4833339,145.1666664,146.7499997,114.583333,109.5666667,118.7166672,120.6166666,119.2999997,117.2499998,150.7666666,246.8666664,56.8833336,54.96666624,65.23333344,119.25,138.8166667,96.84999936,111.766667,102.4666661,110.2666666,123.6166661,180.4666666,184.3833326,96.61666608,86.06666736,139.4000006,138.1999997,229.3666661,233.8666661,225.3333326,241.6833331,233.3499998,221.7333326,79.23333312,70.48333296,65.7,72.66666672,64.68333264,208.7333338,176.8833331,140.2166664,134.9500003,122.1666667,119.2000003,61.33333392,87.06666672,148.5,93.95000064,112.0166669,153.3666672,222.0000005,183.6999994,219.0666672,166.3499995,131.9666674,134.1166666,125.4333326,136.4666674,157.0833331,176.2166664,158.0499994,109.6166664,86.46666624,101.2666666,115.5666672,103.3499995,152.7666667,176.4,170.2166674,164.416667,119.4333336,99.99999936,113.8000003,117.9666662,157.4166672,104.4833328,155.1833338,139.7999995,164.4666667,219.9666672,173.0333333,160.0499995,52.3833336,62.88333264,143.5333334,162.166667,143.1499997,140.5166674,66.81666672,153.166667,53.13333312,176.7666672,199.0833336,233.5999997,201.5333338,287.4166661,195.5499998,191.4999998,134.9666669,127.2666672,119.6166672,129.8666664,136.066667,104.0499994,146.2999997,118.633333,130.8833338,133.8500002,126.0166666,114.6833338,49.2333336,27.04999968,33.59999952,203.4999994,159.6666672
Birmingham 070C,18.65000016,17.00000064,12.43333296,27.96666624,29.0666664,6.31666656,34.61666688,123.4833336,180.2666664,149.0833339,136.7500003,170.3499998,159.5333333,190.2166661,170.6166662,122.2166664,125.4833338,192.7833336,192.1000003,208.8,172.35,108.0666662,110.4666667,129.8166667,218.4833333,252.4000003,117.8500003,116.5166669,125.3333333,158.1666667,148.4000006,179.4166661,168.2333338,211.9333334,226.3666666,35.0166672,36.16666704,40.96666656,84.44999952,163.6499995,54.21666672,56.26666656,215.266667,194.1333336,137.0000002,116.7666667,162.6833333,207.6666667,39.58333344,158.1666667,149.0499994,158.1666667,158.9499994,124.7166662,179.383333,207.4999997,151.0833326,77.10000048,134.8833326,138.0666672,125.3666664,159.0333336,98.30000016,101.9666664,92.86666704,155.4999998,148.2833333,162.6000005,143.383333,175.8166661,123.9666667,141.6500006,143.2333339,117.45,112.4000006,121.5333331,123.4500005,122.1333336,120.0833338,153.6000005,249.7000003,57.75000048,55.8,66.10000032,120.1166669,142.033333,97.71666624,114.5999995,105.3,113.0833339,126.45,176.9499994,185.2499995,97.4666664,86.9333328,140.2666661,139.0666666,232.6000003,237.1000003,228.5833334,244.9333339,236.5666661,224.9833334,82.48333392,73.7166672,68.9333328,73.5333336,65.54999952,209.6000006,177.7333334,136.7000006,135.8166672,125.0000006,122.0333328,57.81666672,83.56666608,149.3666669,94.81666608,112.8833338,154.2333326,222.0833333,180.2000002,215.5666666,162.8500003,134.7999998,136.9500005,121.9166669,132.9500002,153.5666674,173.4500002,158.9166662,112.8666672,89.70000048,104.4999994,118.8,106.6000003,149.2499995,177.2666669,171.0833328,160.9166664,120.3000005,102.8333333,116.6333328,114.466667,153.9,104.566667,151.6833331,136.3000003,160.9499995,223.2166666,173.9000002,160.9166664,55.21666608,65.71666656,140.0166662,158.6666664,139.6166674,137.0166667,69.63333264,153.2333333,55.95000048,173.25,195.5666664,230.1000005,202.2666667,287.5000003,198.8000006,194.7500006,131.4499997,126.3333326,116.1166666,126.3500006,132.5666664,106.8833333,142.7666674,119.4999998,134.1166666,137.0999995,129.2499994,117.5166662,49.3166664,29.8833336,36.43333344,206.7333336,162.9166666
Birmingham 070D,21.44999952,19.8,15.1166664,30.76666704,33.01666704,6.79999968,35.1,127.9333339,184.0333334,151.8999998,139.5666662,173.1666672,160.033333,190.7000006,171.0999994,125.0333338,128.2999997,193.2666667,192.6,209.2999997,172.8333331,111.8333333,114.2500003,133.5833338,221.2833326,255.1999997,118.3333334,119.3333328,128.1333326,158.6666664,148.9000003,179.9000006,168.7166669,212.4166666,226.8499997,35.51666688,36.66666672,41.44999968,87.26666688,164.1333326,54.69999984,56.74999968,215.7500002,194.6166667,137.4833333,117.2666664,163.1666664,211.4333338,42.39999936,158.6666664,149.5333339,158.6499998,159.4500005,125.1999994,183.15,211.2666667,153.9,80.86666608,135.3666672,138.5500003,125.8499995,159.5333333,98.78333328,102.4666661,96.65000064,155.9999995,151.0833326,163.1499998,143.8833326,176.3000006,124.4499998,142.1500003,143.716667,120.1333334,115.2166666,124.3500005,126.2666664,124.933333,122.8999997,156.4166664,252.5166662,58.2333336,56.36666736,66.58333344,120.6166666,142.5333326,98.21666736,117.4166669,108.1166674,115.8999998,129.2666674,177.4500005,185.7500006,97.96666608,87.43333392,140.7500006,139.5499997,233.0833334,237.5833334,229.0666666,245.4666667,237.1333334,225.4666666,82.96666704,74.20000032,69.41666736,74.01666672,66.05000064,210.0833338,178.2333331,137.1833338,136.3000003,127.8,124.8333336,58.29999984,84.05000064,149.85,95.30000064,113.3833334,154.7166672,225.8500003,180.6833333,216.0499997,163.3333334,137.6166672,139.7499998,122.4,133.4499998,154.066667,173.9499998,159.3999994,113.3500003,90.1833336,104.9833339,119.2999997,107.0833334,149.7500006,177.75,171.5666674,161.3999995,120.7833336,105.6500006,119.4500002,114.9500002,154.3999997,108.3333326,152.1666662,136.7833334,161.4500006,223.6999997,174.3833333,161.3999995,58.01666688,68.51666736,140.5166674,159.1499995,140.1833333,137.4999998,72.45,157.0166669,58.7666664,173.7333331,196.0666661,230.5833336,205.3833336,291.2666674,199.2833338,195.2333338,131.9333328,126.8833334,116.5999997,126.8500003,133.0499995,109.7000006,143.3333333,119.983333,134.5999997,137.5833326,129.7333339,120.3333336,53.08333344,32.69999952,39.24999936,204.6666672,163.3999997
Birmingham 071E,15.95000016,14.30000064,9.69999984,25.26666624,27.49999968,7.88333328,35.38333296,122.4333331,178.5333326,146.3833339,134.0500003,167.6499998,158.7666672,193.1833339,173.5833326,119.533333,122.8000003,195.75,195.0666667,211.7666664,175.3166664,106.3333339,108.733333,128.083333,215.7833333,249.7000003,119.4500002,113.8333334,122.6333333,159.7666666,150.0000005,181.0166674,171.2000002,213.5333333,227.9499998,36.61666704,37.76666688,43.93333296,81.76666608,165.2499994,53.86666608,55.91666736,214.483333,193.3499995,136.2166661,116.0000006,164.2666666,205.9166664,36.88333344,161.1499997,150.6500006,159.7666666,160.5500006,126.2999995,177.6500006,205.7499994,148.3833326,75.36666672,137.8500005,141.0333336,128.2833331,158.2499995,101.2666666,104.9333328,91.13333328,154.7166672,145.5833333,164.1166661,144.9833328,177.4833336,126.9333331,144.6333336,146.2000003,114.7166669,109.7000006,118.8499997,120.7500005,119.4333336,117.4000003,150.916667,247.0000003,59.35000032,57.4166664,67.70000016,121.7166667,141.2500003,99.31666608,111.8999995,102.6,110.4000005,123.75,179.9333338,186.8499994,99.06666624,88.53333264,141.8666674,140.6499998,231.8166662,236.3166662,227.7999994,243.6333336,235.8,224.1999994,81.69999984,72.93333312,68.15000016,75.11666688,67.14999936,211.2000005,179.3333333,139.666667,137.416667,122.3000006,119.3333328,60.78333312,86.53333392,150.9500002,96.41666736,114.4833336,155.8166674,220.333333,183.1666666,218.533333,165.8166667,132.0999998,134.2500005,124.8833333,135.9333331,156.5333338,176.4166666,160.4999995,112.0833331,88.9166664,103.7166667,118.0166674,105.8166662,152.2333339,178.8666667,172.6833326,163.8833328,121.8833338,100.1333333,113.9499994,115.483333,156.8666664,102.8333333,154.6499995,139.2666667,163.9166674,222.4333339,175.4833334,162.5166662,52.51666608,63.01666656,142.9833326,161.6333328,142.6333334,139.9833331,66.95000064,151.4999995,53.26666704,176.2166664,198.5499994,233.0666669,199.8833328,285.7666666,198.0166666,193.9666666,134.4166661,129.9166661,119.083333,129.316667,135.5333328,104.1999998,145.7833334,121.0999997,133.3333339,136.3166669,128.4666667,114.8166662,47.58333264,27.20000016,33.75,205.9499995,162.1333339
Birmingham 070E,16.93333296,15.13333296,10.56666672,26.1,28.35,7.8333336,34.33333392,122.6000002,181.0500005,147.2333328,134.9000006,168.5000002,159.5999995,192.1666666,172.5666667,120.3666667,123.6333326,194.7333326,194.0499994,210.7500005,174.3000005,107.1666662,109.5833333,128.9166667,216.616667,250.5500006,119.7999994,114.2000006,123.4833336,160.1333338,150.3499997,181.3666666,170.1833328,213.8833339,228.5833334,36.9833328,38.11666608,42.91666704,82.59999984,165.6,54.69999984,56.74999968,215.3166667,194.1833333,137.0499998,116.833333,164.6333338,206.7666667,37.73333376,160.1166672,150.9999998,160.1166672,160.8999998,126.6666667,178.483333,206.5999997,149.233333,76.21666704,136.8333331,140.0166662,127.3166669,159.0999998,100.2500006,103.9166669,91.9833336,155.5666661,146.4333336,164.3166662,145.35,177.8499994,125.9166672,143.6166662,145.183333,115.5833338,110.5499995,119.6833334,121.5999994,120.2833339,118.2333326,151.7499994,247.8500006,59.69999952,57.7833336,68.04999936,122.0666674,142.1166672,99.66666672,112.7499998,103.4500003,111.2333328,124.6000003,178.9166664,187.2,99.43333344,88.88333328,142.2166666,141.016667,232.6666666,237.1666666,228.6499997,245.0000002,236.6666669,225.0333331,82.5333336,73.78333344,69.00000048,75.48333264,67.5,211.5499997,179.7000005,138.6499997,137.7666662,123.1499995,120.1666666,59.7666672,85.51666656,151.3166674,96.76666656,114.8499994,156.1833331,221.1833333,182.1500006,217.516667,164.7999994,132.9500002,135.0833328,123.8666674,134.9166672,155.5166664,175.4000006,160.8666667,112.9333334,89.76666672,104.566667,118.8666662,106.65,151.2166666,179.2166674,173.0333333,162.8666669,122.2499995,100.9833336,114.7833331,115.6666666,155.8500005,103.666667,153.6333336,138.2499994,162.9,223.2666662,175.8500006,162.8666669,53.3666664,63.86666688,141.9666667,160.6166669,141.5999995,138.9666672,67.78333296,152.3499998,54.09999936,175.2000005,197.5333334,232.0499995,200.7166666,286.6000003,198.8500003,194.8166669,133.4000002,128.2999997,118.066667,128.2999997,134.5166669,105.0333336,144.7499995,121.4500003,134.1833328,137.1500006,129.316667,115.6666666,48.4166664,28.03333392,34.58333376,206.7999998,162.9666662
Birmingham 063F,19.1666664,17.51666688,12.89999952,28.48333392,28.38333312,5.71666608,34.89999984,124.4499998,181.1166667,149.6000002,137.2666666,170.8666661,158.8666666,190.5000005,170.9000006,122.7333326,126,193.0666666,192.3833333,209.083333,172.633333,108.3500006,110.7666662,130.0999997,218.9999995,253.5833333,118.1333333,117.0333331,125.8499995,158.4666662,148.6833336,179.7000005,168.5166667,212.2166664,226.9166674,35.31666672,36.45,41.24999952,84.9666672,163.9333339,53.53333344,55.58333328,214.5833338,193.4500003,136.3166669,116.1,162.9666662,207.9499997,40.09999968,158.4499997,149.3333338,158.4499997,159.2333338,125.0000006,179.6666674,207.7833326,151.6000003,77.38333344,135.166667,138.3500002,125.6499994,158.3500003,98.58333312,102.2499994,93.15,154.8333331,148.7999995,163.3000003,143.6833339,176.1833333,124.2499997,141.9500002,143.5166669,117.9166666,112.9166669,122.0666674,123.9666667,122.6499998,120.6,154.1166667,250.2166666,58.03333344,56.08333296,66.38333328,120.3999998,141.3833328,98.00000064,115.1166672,105.8166662,113.6166667,126.9666662,177.2500003,185.5333339,97.76666736,87.2166672,140.5500005,139.3499995,231.916667,236.416667,227.9000002,244.3000003,235.9333339,224.3000002,81.80000064,73.03333392,68.24999952,73.81666656,65.83333392,209.8833336,178.033333,136.9833336,136.1000002,125.5166669,122.5500005,58.09999968,83.85000048,149.6499998,95.10000048,113.1833333,154.516667,222.3666662,180.4833331,215.8499995,163.1333333,135.3166661,137.4666667,122.1999998,133.2499997,153.8500003,173.7333331,159.2000006,112.1833339,89.0166672,103.8166661,118.1333333,105.916667,149.1500002,177.5499998,171.3666672,161.1999994,120.5833334,103.3499995,117.1500005,114.75,154.183333,104.85,151.9666661,136.5833333,161.2333339,222.5333333,174.1833331,161.1999994,55.73333376,66.2333328,140.3000006,158.9499994,139.9000003,137.2999997,70.16666688,153.5166662,56.46666672,173.533333,195.8666674,230.3833334,201.8999995,287.7833333,198.1166674,194.0666674,131.7333326,123.9500002,116.3999995,126.6333336,132.8499994,107.3999995,143.0500003,119.7833328,133.4333333,136.4166662,128.5666661,118.0333339,49.59999936,30.39999984,36.94999968,203.4999994,162.2333333
Birmingham 139G,19.84999968,18.1833336,13.61666736,29.15000064,29.26666656,7.29999936,35.59999968,125.1666662,181.8166666,150.2833334,137.9499998,171.5499994,159.75,191.2166669,171.6000005,123.4166674,126.6833333,193.783333,193.0999997,209.7999994,173.3333328,109.0500005,111.4666661,130.7999995,219.6833328,254.2666666,118.8333331,117.2499998,126.5333328,159.1666661,149.4,180.4166669,169.2166666,212.9333328,227.6166672,36.01666656,37.1666664,41.94999936,85.65000048,164.6333338,54.43333344,56.48333328,215.4666672,194.3333338,137.2000003,116.9833334,163.6666661,208.6499995,40.78333296,159.1666661,150.0333336,159.1666661,159.9500002,125.7000005,180.3666672,208.4833339,152.2833336,78.09999984,135.8666669,139.05,126.3500006,159.2500003,99.28333296,102.9666672,93.8666664,155.7166666,149.4833328,164.0499998,144.3833338,176.8000003,124.9499995,142.65,144.2333333,118.633333,113.6000002,122.7333326,124.65,123.3333331,121.2833333,154.8,250.8999998,58.74999984,56.83333392,67.08333312,121.1166662,142.2499997,98.71666704,115.8000005,106.4999995,114.2833334,127.6499995,177.9500002,186.2500003,98.4666672,87.9333336,141.2666669,140.0499994,232.8000005,237.316667,228.7833336,245.1500006,236.7999994,225.1833336,82.68333264,73.93333392,69.13333296,74.5166664,66.55000032,210.5833334,178.7333328,137.7,136.8,126.2000002,123.2166672,58.81666608,84.55000032,150.3499997,95.80000032,113.8833331,155.2166669,223.0666661,181.183333,216.5499994,163.8333331,135.9999994,138.1333334,122.9166662,133.9499995,154.5666667,174.4499995,159.9000005,113.0666674,89.90000064,104.7166661,119.0166667,106.8000005,150.2500003,178.2666662,172.066667,161.9000006,121.2833333,104.0333328,117.8333338,115.4499998,154.8999994,105.5499998,152.6666674,137.2833331,161.9500003,223.4166667,174.883333,161.9000006,56.41666704,66.91666608,141.016667,159.6500006,140.6499998,137.9999995,70.8333336,154.2333326,57.15,174.2499994,196.5666672,231.0833333,202.5999994,288.4833331,198.9999994,194.9499994,132.4500005,124.6999997,117.0999994,127.35,133.5500006,108.0833328,143.7999998,120.4833326,134.3166667,137.2999997,129.4499995,118.7166672,50.30000064,31.08333312,37.63333296,204.3833328,163.1166667
Birmingham 070A,18.40000032,16.43333328,11.85000048,27.40000032,28.56666672,6.36666624,36.45,124.8833333,181.5500002,148.5333331,136.1999995,169.8000005,160.8999998,192.9333326,173.3333328,121.666667,124.933333,195.5000002,194.8333334,211.5333331,175.0666666,108.7833326,111.1833331,130.5333331,217.9166674,252.5166662,120.5666669,115.4999995,124.7833339,160.8999998,151.1333338,182.1333326,170.9500003,214.65,229.3499995,37.75000032,38.90000016,43.68333312,83.90000016,166.3666661,54.93333312,56.98333296,216.616667,195.4833336,138.3500002,118.1333333,165.3999998,208.3833331,39.3333336,160.8999998,151.7666674,160.8833333,161.6833339,127.4333328,180.0999994,208.2166661,150.5333333,77.81666688,137.6000006,140.7833338,128.083333,160.4000002,101.0166667,104.6999995,93.58333344,156.8666664,147.7333339,165.1000003,146.1166661,178.6166669,126.6833333,144.3833338,145.9500005,116.8666661,111.8499998,120.9833338,123.1833326,121.5833328,119.533333,153.0499997,249.1499995,60.46666704,58.53333312,68.81666688,122.85,143.3999995,100.4499994,114.0500002,104.7500006,112.5333331,125.9000006,179.6833339,187.9833326,100.1999995,89.66666736,142.9833326,141.7833331,233.9666669,238.4666669,229.95,246.316667,237.9500006,226.3333334,83.83333392,75.08333376,70.29999936,76.25000016,68.28333264,212.3166672,180.4666666,139.4166672,138.5333338,124.4499998,121.4666669,60.53333328,86.28333264,152.0833334,97.53333264,115.6166669,156.9500006,222.7999997,182.9166667,218.2833331,165.5666669,134.2500005,136.3833331,124.65,135.6833333,156.3000005,176.1833333,161.6333328,114.2333338,91.06666704,105.8666674,120.1666666,107.9500003,151.9833326,179.9833334,173.7999994,163.633333,123.016667,102.2833339,116.0833334,116.4333326,156.6333331,105.2833334,154.3999997,139.0166669,163.6833326,224.5666666,176.6166667,163.633333,54.65000016,65.1666672,142.7499994,161.383333,142.366667,139.7333333,69.08333328,153.9499997,55.39999968,175.9833331,198.2999995,232.816667,202.333333,288.2166667,200.1500006,196.1166672,134.1666662,129.0833338,118.8333331,129.0833338,135.283333,106.3333339,145.5000005,122.2166664,135.4833331,138.4499995,130.6166674,116.9666669,50.0333328,29.3333328,35.88333264,205.5333326,164.2666666
Birmingham 063A,19.58333328,17.93333376,13.38333264,28.89999936,27.33333264,4.59999936,35.33333328,124.8833333,181.5500002,150.0333336,137.7,171.2999995,157.8166661,190.9333339,171.3333326,123.1666661,126.4333334,193.5,192.8166667,209.5166664,173.0666664,108.7833326,111.1833331,130.5333331,219.4166664,254.0166667,118.183333,117.4666666,126.283333,158.4999994,148.7333333,179.7500002,168.9500002,212.2666661,226.966667,35.34999984,36.49999968,41.68333296,85.40000064,163.9833336,52.48333296,54.5333328,213.5333333,192.3999998,135.2666664,114.8666674,162.9999994,208.3666666,40.53333312,158.8833331,149.3833334,158.4999994,159.2833334,125.0500003,180.0999994,208.1999995,152.0333338,77.81666688,135.6000005,138.7833336,126.0833328,157.2999998,99.01666656,102.6833328,93.58333344,153.7666661,149.233333,163.1499998,143.716667,176.2166664,124.6833331,142.366667,143.9500003,118.3999997,113.3500003,122.4833328,124.4000002,123.0833333,121.0333334,154.5500002,250.65,58.08333312,56.15000064,66.43333296,120.4499995,140.3166672,98.05000032,115.5500006,106.2499997,114.0333336,127.3999997,177.6666672,185.5833336,97.80000048,87.26666688,140.6000002,139.4000006,230.8666666,235.3666666,226.8499997,243.2000002,234.8500003,223.2499997,80.75000016,71.98333344,67.20000048,73.86666624,65.8833336,209.9333333,178.0666661,137.416667,136.1499998,125.9500003,122.9666674,58.53333312,84.28333392,149.6999995,95.15000016,113.2166664,154.5500002,222.7833331,180.9166666,216.283333,163.5666667,135.7499995,137.8833336,122.6333333,133.6666666,154.2833338,174.1666666,159.2333338,111.1333334,87.96666672,102.766667,117.0833328,104.8666666,149.9666674,177.5999995,171.4166669,161.6333328,120.6333331,103.783333,117.5833339,115.1833334,154.6166664,105.2833334,152.3999995,137.0000002,161.6666674,221.4833328,174.2333328,161.2500005,56.1666672,66.66666624,140.7333326,159.3833328,140.3500003,137.7333331,70.58333376,153.9499997,56.90000016,173.9666664,196.2833328,230.8166669,202.333333,288.2166667,197.0666669,193.0166669,132.1666661,127.0833336,116.833333,127.066667,133.2833328,107.833333,143.5000003,119.8333339,132.3833328,135.3666672,127.516667,118.4666674,50.0333328,30.83333328,37.38333312,204.9999998,161.1833328
Birmingham 066D,20.18333376,18.5333328,13.98333312,29.49999984,26.56666656,3.81666672,35.19999936,124.0666661,181.4166662,150.6333326,138.3000005,171.9,157.05,190.2500006,170.6499994,123.7666666,127.0333339,192.8166667,192.1333334,208.8333331,172.3833331,108.6500002,111.0500006,130.4000006,220.0166669,254.6166672,117.4166669,118.066667,126.8833334,157.7499998,147.9833338,178.9833326,168.2666669,211.5,226.1999995,34.60000032,35.7333336,40.99999968,85.99999968,163.2166661,51.73333344,53.78333328,212.7666672,191.6333338,134.5000003,114.2833334,162.2499998,208.2333326,41.1333336,158.1999998,148.6166674,157.7333333,158.5333339,124.2833328,179.9666669,208.066667,152.6333328,77.68333296,134.9166672,138.1000003,125.3999995,156.5500003,98.33333328,101.9999995,93.44999952,153.0166666,149.8333334,162.3666672,142.9666661,175.3833326,123.9999998,141.6833338,143.266667,119.0000002,113.9499994,123.0833333,125.0000006,123.6833338,121.6333339,159.3666662,251.2500005,57.31666704,55.38333312,65.66666688,119.7,139.5499997,97.29999936,116.1499997,106.8500002,114.6333326,128.0000002,177.0000005,184.8166661,97.04999952,86.49999936,139.8333326,138.6333331,230.116667,234.616667,226.1000002,242.4333326,234.0999994,222.4833336,79.98333264,71.23333392,66.44999952,73.10000016,65.11666608,209.1666672,177.3166666,136.7333338,135.3833338,126.5499994,123.5666664,57.84999984,83.60000064,148.9333334,94.38333264,112.4666669,153.8000006,222.6500006,180.2333333,215.5999997,162.8833334,136.35,138.4833326,121.95,132.9999998,153.6000005,173.4833333,158.4833328,110.3666674,87.2166672,102.0166661,116.3166667,104.1000005,149.3000006,176.8333334,170.6499994,160.9499995,119.866667,104.3833334,118.183333,113.7500006,153.9333331,105.1499995,151.7166662,136.3333334,160.9833326,220.7166667,173.4666667,160.483333,56.74999968,67.26666672,140.0499994,158.6166667,139.666667,137.0499998,71.1833328,153.8166672,57.50000064,173.2833331,195.5999995,230.1333336,202.2000005,288.0833328,196.2999994,192.2499994,131.4833328,126.3666672,116.1499997,126.3833338,132.5999995,108.4333334,142.816667,119.0666664,131.6333333,134.5999997,126.7666661,119.0666664,49.90000032,31.43333376,37.9833336,201.6833328,160.4166667
